Year,Top2,Top4,Top6,Top8,Top10,Top12,Top14,Top16
1998,1710.5,1624.75,1551.5,1494.5,1419.9,1336.08,1261.79,1196.69
1999,1714.5,1629.25,1563.17,1492.62,1422.9,1350.92,1266.36,1198.62
2000,1730.5,1668,1590.17,1512.12,1434.3,1364,1288.93,1226.5
2001,1749,1675.75,1580.5,1521.62,1462.1,1392.92,1311,1234.88
2002,1811.5,1732,1647.33,1580.38,1504.7,1434.33,1353.86,1270.06
2003,1587.5,1525.75,1442.17,1376.5,1321.5,1256.83,1186.36,1117.75
2004,1577.5,1519.75,1460.17,1382.62,1313.2,1250.75,1193,1125.06
2005,1592.5,1510.75,1435.17,1379.25,1316,1257.83,1192.64,1120.56
2006,1577,1511.25,1438.83,1380.62,1316.2,1247.33,1187.93,1126.75
2007,1548.5,1485.25,1444.5,1378.25,1314.7,1260.5,1185.07,1109.94
2008,1571,1520.5,1452.17,1391.38,1330.1,1257.08,1192.79,1125.5
2009,1461.5,1400.25,1348.5,1287.38,1217.6,1160.42,1090.79,1028.31
2010,1467.5,1400.75,1344.17,1281.38,1215.9,1153.25,1093.07,1034.56
2011,1459,1400.25,1325,1275.62,1218.9,1145.92,1080.07,1025.56
2012,1462,1376.25,1328,1273.88,1226.7,1168.75,1107.5,1042.31
2013,1470,1398.5,1332.67,1278.12,1217.1,1158.08,1101.43,1041.44
2014,1444,1394.75,1349.67,1284.12,1212.5,1151.58,1087.64,1026.75
2015,1487.5,1433.25,1361.33,1305.75,1236.7,1173.25,1111.14,1056.06
2016,1484.5,1423.5,1365.83,1302.75,1235.1,1175.67,1121.14,1046.62
2017,1490,1424,1359.67,1297.75,1237.3,1178.42,1113.5,1051.06
2018,1492.5,1429.25,1369.67,1306.5,1233.8,1169.17,1111.86,1056.19