City,Score,MLB,NFL,NBA,MLS,NHL
Los Angeles,3.303,0.483,0.525,0.665,1.389,0.242
Denver,1.860,0.000,0.203,1.000,0.077,0.579
New York,1.585,0.650,0.221,0.053,0.500,0.161
Boston,1.580,0.470,0.602,0.359,0.000,0.149
Kansas City,1.563,0.151,1.269,0.000,0.143,0.000
Houston,1.356,1.167,0.000,0.068,0.121,0.000
Tampa Bay,1.014,0.000,0.381,0.000,0.000,0.633
Las Vegas,1.000,0.000,0.000,0.000,0.000,1.000
San Francisco,0.921,0.279,0.142,0.500,0.000,0.000
Chicago,0.817,0.234,0.026,0.205,0.040,0.312
Atlanta,0.736,0.536,0.000,0.000,0.200,0.000
DC,0.702,0.260,0.083,0.022,0.170,0.167
Pittsburg,0.681,0.077,0.208,0.000,0.000,0.396
Toronto,0.588,0.066,0.000,0.200,0.167,0.156
Oakland,0.575,0.089,0.045,0.441,0.000,0.000
St. Louis,0.529,0.272,0.042,0.015,0.000,0.200
Seattle,0.515,0.000,0.100,0.022,0.393,0.000
Detroit,0.451,0.068,0.000,0.108,0.000,0.275
Philadelphia,0.415,0.138,0.167,0.070,0.000,0.040
Montreal,0.401,0.000,0.000,0.000,0.000,0.401
Columbus,0.400,0.000,0.000,0.000,0.400,0.000
Milwaukee,0.367,0.015,0.000,0.352,0.000,0.000
Miami,0.358,0.088,0.040,0.230,0.000,0.000
San Antonio,0.299,0.000,0.000,0.299,0.000,0.000
Dallas,0.259,0.000,0.142,0.077,0.000,0.040
Baltimore,0.228,0.061,0.153,0.013,0.000,0.000
Green Bay,0.149,0.000,0.149,0.000,0.000,0.000
Cleveland,0.148,0.023,0.000,0.125,0.000,0.000
Portland,0.146,0.000,0.000,0.021,0.125,0.000
Edmonton,0.135,0.000,0.000,0.000,0.000,0.135
Minneapolis,0.128,0.059,0.000,0.069,0.000,0.000
Newark,0.124,0.000,0.000,0.000,0.000,0.124
San Jose,0.095,0.000,0.000,0.000,0.095,0.000
Cincinatti,0.094,0.094,0.000,0.000,0.000,0.000
New Orleans,0.071,0.000,0.071,0.000,0.000,0.000
Salt Lake City,0.071,0.000,0.000,0.000,0.071,0.000
Indianapolis,0.059,0.000,0.059,0.000,0.000,0.000
Raleigh,0.056,0.000,0.000,0.000,0.000,0.056
Phoenix,0.045,0.045,0.000,0.000,0.000,0.000
Calgary,0.029,0.000,0.000,0.000,0.000,0.029
Rochester,0.014,0.000,0.000,0.014,0.000,0.000
Ottawa,0.010,0.000,0.000,0.000,0.000,0.010