City,Score,1,0
Los Angeles,3.303,34.1141,-118.4068
Denver,1.860,39.762,-104.8758
New York,1.585,40.6943,-73.9249
Boston,1.580,42.3188,-71.0852
Kansas City,1.563,39.1238,-94.5541
Houston,1.356,29.786,-95.3885
Tampa Bay,1.014,27.9945,-82.4447
Las Vegas,1.000,36.2333,-115.2654
San Francisco,0.921,37.7558,-122.4449
Chicago,0.817,41.8375,-87.6866
Atlanta,0.736,33.7628,-84.422
DC,0.702,38.9047,-77.0163
Pittsburg,0.681,40.4397,-79.9763
Oakland,0.575,37.7904,-122.2166
St. Louis,0.529,38.6359,-90.2451
Seattle,0.515,47.6211,-122.3244
Detroit,0.451,42.3834,-83.1024
Philadelphia,0.415,40.0077,-75.1339
Columbus,0.400,39.9862,-82.9855
Milwaukee,0.367,43.0642,-87.9675
Miami,0.358,25.784,-80.2101
San Antonio,0.299,29.4632,-98.5238
Dallas,0.259,32.7935,-96.7667
Baltimore,0.228,39.3051,-76.6144
Green Bay,0.149,44.5148,-87.9895
Cleveland,0.148,41.4764,-81.6805
Portland,0.146,45.5371,-122.65
Minneapolis,0.128,44.9635,-93.2678
Newark,0.124,40.7245,-74.1725
San Jose,0.095,37.3012,-121.848
Cincinatti,0.094,39.1413,-84.506
New Orleans,0.071,30.0687,-89.9288
Salt Lake City,0.071,40.7776,-111.9311
Indianapolis,0.059,39.7771,-86.1458
Raleigh,0.056,35.8324,-78.6429
Phoenix,0.045,33.5722,-112.0892
Rochester,0.014,43.168,-77.6162